Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,470.22886753384364,-1.1281267113961806,-0.5705957275582131,0.05786794933211074,0.777295269868786,-1.5447140246026934,0.9013407120111915,0.5468696062961279,0.28250033335775937,1.1201949971469138,-0.4042083670741805,1.5577623536539573,1.5236052095623869,-0.9162251018244018,1.88618542080938,0.3586601981635028,-1.7598828459050775,1.6072532592200564,-0.18599985184404155,0.2468113273517916,0.8257825056458973,0.005263033244261138,0.30666376600999573,1.0559527259366164,0.6720037424850959,-0.7576913961785171,-1.2009295482956244,0.15680582927666806,-0.596200856570727,0
1,193.3792458229886,-0.9771715085264878,1.8207769708594932,0.5530218354418132,0.06807772650425964,-0.754289066576908,2.6430232179262068,0.8925612472289124,-0.5664428751462108,-2.215203508901372,-1.5799059608782529,-1.2079221909770597,0.2773888828404156,-0.7689701187637218,-1.2329233704203237,-1.8975400843634858,-0.8851253178988935,-1.170227647239262,-1.9214255663311288,-1.2560851990894613,1.4471450369918906,-1.7865151145890854,-0.2532017855966437,-1.219022903080017,0.7808675574005802,0.23220613432828766,-0.15173532452370636,2.14911324197628,-0.32261744099608153,0
2,34.61331307418247,-1.0964592193028457,-1.4139650314473677,0.9826558739589893,0.5607060693385747,0.4949707277074407,-1.0229228445042506,-0.9033871556946372,1.3793861677688664,1.006968628323942,-0.5871282901112217,-3.1747235712128683,-0.8259490509322963,-0.6849069015951008,-1.3463876451677124,-0.8740007202642344,-0.7577968572376566,1.0065044148140083,-0.3095748661491537,0.09497204939227853,-0.7058938480389569,3.1449355303431576,0.692829433675202,-2.1817503732625503,0.5432708314697313,-0.8741909107225594,-1.3518339169249576,1.7733972079733666,0.47063755366158455,0
3,401.8658452665147,0.5433027431714816,-0.7260638356928913,-1.80810549713671,-0.17863711280311714,0.020860277682605215,1.0270497008206032,-0.2457765582772037,0.04195575240571333,-0.7169206087635008,0.4472841578916277,0.005881345016063573,-1.5261560967232888,0.935371940253504,2.337902494166973,1.608173121342956,-1.4040477815180432,-0.9901994506259175,-0.9530827528705458,-0.4893666999249881,-0.9006598928102418,-0.750977418179605,-0.46388700949367284,-0.6793608909789431,-1.523537090277092,0.19243882262425657,0.5055784950438378,0.880584841716676,0.42910127055685765,0
4,402.24788696048233,1.0758084703989794,1.4386520382083932,-1.2940302017731127,-0.027394464807993586,-1.1693147885173745,0.7730562680797243,-0.1974424082533338,0.14500664577447164,1.954079897376554,0.04138123394901231,-1.268194883313474,0.8587226490027422,-0.2541783813394359,0.3955490692930084,0.1598667047792639,-1.5298402760149168,0.9950470531454082,-2.3886404441641482,-1.1117017979891586,0.7593466382550582,-0.8577413452860455,-1.3102713045862653,2.0045383382945334,0.592717416788914,1.4789919820138748,-0.7706434377214737,-0.1650368935249877,-0.7117526657335003,0
5,64.0457739993066,0.08583844323536474,1.5722426614715619,0.3659967289868694,-0.450986055198693,-1.176493205249982,0.752148129440214,-0.6091064180482859,-0.08564995738164442,-1.0581642096216377,-0.4294290057401031,-0.21093402641236192,-1.1301306266775657,0.7414760541588062,2.0094641608331347,0.32745009774552947,-1.7225338082348076,-0.537818034158414,0.546283719705362,-1.7700644521221045,-1.8060525516618426,-2.139242277317073,0.4175960152070099,-0.41344907782909274,-0.4839166987250922,-0.06042809529520956,-0.029278015470074723,0.7532657489267446,0.4078365147835726,0
6,176.29274479320455,-1.0590954487887232,0.06811204095583832,1.8680912873192,-0.08339976190448764,-1.363021132703031,0.5871517658561695,-0.6128624909827605,-0.28455339243792543,0.2086163569402852,3.320476230364906,1.3643168063721836,-1.6872199379755581,-0.8395241467594646,-0.21910330840649112,-0.30686409122199004,0.27539144505351765,0.3744385025023417,1.429361720609646,-2.1595892353252713,-0.5079537096229738,-0.5926229949335606,-0.42255324010448203,0.4642281517322532,1.0231704645397806,-1.8561837585546102,-0.4201284053838742,-1.0348780269785143,1.387355404522883,0
7,390.836023230511,-0.9358250079363978,-0.5385856667208809,-1.4370872900249572,-0.5743476838784513,-0.23643317086187468,-0.5185328102584186,0.43097890660693483,0.3157966039253086,2.5803903167282565,-0.05621758755986833,-0.09728407816026167,0.38529607968255997,0.9306715045063125,-0.8676045046291974,-0.5486200383190197,-1.4307091392236844,0.6752147500420598,-0.4204022553780131,0.016864560899137817,0.13557698170927776,1.0742606015177687,1.2945040389437912,-0.6863566488193049,-0.40418172382079565,-0.45574733069089185,0.9296707459615621,0.5824287598371354,-1.6019648914214533,0
8,168.50114727224351,-0.20170804590028774,-0.2859054230452721,-0.27546142961306,1.0288179348426199,0.4821931057171315,0.9564279108868928,0.7258632790805799,1.1179557001273885,-2.318842712710693,-0.7335333152222806,0.6742545108896818,0.5851671475838217,-0.0664818524883631,-0.8654510625944878,-0.25878624686380364,1.2859442389514029,-0.674952061329002,1.8267641330451574,1.6269293254058956,-0.5897541988205144,-0.02845086899017284,-1.0127422318898809,-0.14614765197918336,-1.2950190011748235,-0.10865030637737054,-0.4071766234928832,-2.425837292120773,0.1578813261386276,0
9,32.320735970780724,0.2922431496597386,0.2540808472473083,0.9014629354718767,0.012110903890908107,0.7647912670309898,-1.0630528567425601,-0.6428565634055257,0.3300613845445406,-1.4649503746209067,0.07328559552600408,-0.9822388382471694,-2.2264045296838444,0.31031096119137663,-1.9844497163239962,0.9250412515335833,1.5126749155876187,-0.8946034869160039,-1.8584997786083328,2.022026718804369,-0.0008835574365695585,0.4046342449569269,-0.03589170240210575,-0.3892730338536559,-0.5658904063503022,-0.274728885556375,-0.9815309658729836,1.3798305331000802,0.7395810879783631,0
